 9.0000000000000002E-01, 0.0000000000000000E+00, 2.4158759034916097E+00
 9.0000000000000002E-01, 2.0408163265306121E-02, 2.4226227968884091E+00
 9.0000000000000002E-01, 4.0816326530612242E-02, 2.4293696902852084E+00
 9.0000000000000002E-01, 6.1224489795918366E-02, 2.4361165836820078E+00
 9.0000000000000002E-01, 8.1632653061224483E-02, 2.4428634770788076E+00
 9.0000000000000002E-01, 1.0204081632653061E-01, 2.4496103704756069E+00
 9.0000000000000002E-01, 1.2244897959183673E-01,                    NaN
 9.0000000000000002E-01, 1.4285714285714285E-01,                    NaN
 9.0000000000000002E-01, 1.6326530612244897E-01, 2.4698510506660054E+00
 9.0000000000000002E-01, 1.8367346938775511E-01, 2.4765979440628048E+00
 9.0000000000000002E-01, 2.0408163265306123E-01, 2.4833448374596041E+00
 9.0000000000000002E-01, 2.2448979591836735E-01, 2.4900917308564035E+00
 9.0000000000000002E-01, 2.4489795918367346E-01, 2.4968386242532032E+00
 9.0000000000000002E-01, 2.6530612244897961E-01, 2.5035855176500026E+00
 9.0000000000000002E-01, 2.8571428571428570E-01, 2.5103324110468019E+00
 9.0000000000000002E-01, 3.0612244897959184E-01, 2.5170793044436013E+00
 9.0000000000000002E-01, 3.2653061224489793E-01,                    NaN
 9.0000000000000002E-01, 3.4693877551020408E-01, 2.5305730912372004E+00
 9.0000000000000002E-01, 3.6734693877551022E-01, 2.5373199846339998E+00
 9.0000000000000002E-01, 3.8775510204081631E-01, 2.5440668780307991E+00
 9.0000000000000002E-01, 4.0816326530612246E-01, 2.5508137714275985E+00
 9.0000000000000002E-01, 4.2857142857142855E-01, 2.5575606648243983E+00
 9.0000000000000002E-01, 4.4897959183673469E-01, 2.5643075582211976E+00
 9.0000000000000002E-01, 4.6938775510204084E-01, 2.5710544516179969E+00
 9.0000000000000002E-01, 4.8979591836734693E-01, 2.5778013450147963E+00
 9.0000000000000002E-01, 5.1020408163265307E-01, 2.5845482384115961E+00
 9.0000000000000002E-01, 5.3061224489795922E-01, 2.5912951318083954E+00
 9.0000000000000002E-01, 5.5102040816326525E-01, 2.5980420252051948E+00
 9.0000000000000002E-01, 5.7142857142857140E-01, 2.6047889186019941E+00
 9.0000000000000002E-01, 5.9183673469387754E-01, 2.6115358119987939E+00
 9.0000000000000002E-01, 6.1224489795918369E-01, 2.6182827053955933E+00
 9.0000000000000002E-01, 6.3265306122448983E-01, 2.6250295987923926E+00
 9.0000000000000002E-01, 6.5306122448979587E-01, 2.6317764921891920E+00
 9.0000000000000002E-01, 6.7346938775510201E-01, 2.6385233855859913E+00
 9.0000000000000002E-01, 6.9387755102040816E-01, 2.6452702789827911E+00
 9.0000000000000002E-01, 7.1428571428571430E-01, 2.6520171723795904E+00
 9.0000000000000002E-01, 7.3469387755102045E-01, 2.6587640657763898E+00
 9.0000000000000002E-01, 7.5510204081632648E-01, 2.6655109591731891E+00
 9.0000000000000002E-01, 7.7551020408163263E-01, 2.6722578525699889E+00
 9.0000000000000002E-01, 7.9591836734693877E-01, 2.6790047459667883E+00
 9.0000000000000002E-01, 8.1632653061224492E-01, 2.6857516393635876E+00
 9.0000000000000002E-01, 8.3673469387755106E-01, 2.6924985327603870E+00
 9.0000000000000002E-01, 8.5714285714285710E-01, 2.6992454261571863E+00
